commune_id,DRANEF,DPANEF,ZDTF,Commune,Commune_flag,Commune_note
beni_mellal_khenifra__khenifra__ajdir__aguelmam_azegza,Béni Mellal - Khénifra,Khénifra,Ajdir,Aguelmam Azegza,True,
beni_mellal_khenifra__khenifra__khenifra__lehri,Béni Mellal - Khénifra,Khénifra,Khénifra,Lehri,False,
beni_mellal_khenifra__khenifra__mrir_t__oum_rbia,Béni Mellal - Khénifra,Khénifra,Mrir't,Oum Rbia,True,
beni_mellal_khenifra__khenifra__mrir_t__ain_abelioune,Béni Mellal - Khénifra,Khénifra,Mrir't,Aïn Abélioune,False,
beni_mellal_khenifra__khenifra__mrir_t__el_hammam,Béni Mellal - Khénifra,Khénifra,Mrir't,El Hammam,True,
beni_mellal_khenifra__khenifra__mrir_t__el_borj,Béni Mellal - Khénifra,Khénifra,Mrir't,El Borj,False,
beni_mellal_khenifra__khenifra__el_kbab__kerrouchen,Béni Mellal - Khénifra,Khénifra,El Kbab,Kerrouchen,True,
beni_mellal_khenifra__khenifra__el_kbab__el_kbab,Béni Mellal - Khénifra,Khénifra,El Kbab,El Kbab,False,
beni_mellal_khenifra__khenifra__khenifra__sidi_lamine,Béni Mellal - Khénifra,Khénifra,Khénifra,Sidi Lamine,False,
beni_mellal_khenifra__khenifra__khenifra__mouha_ou_hammou_zayani,Béni Mellal - Khénifra,Khénifra,Khénifra,Mouha Ou Hammou Zayani,False,
beni_mellal_khenifra__khenifra__my_bouazza__sebt_ait_rahou,Béni Mellal - Khénifra,Khénifra,My Bouazza,Sebt Ait Rahou,True,
beni_mellal_khenifra__khenifra__my_bouazza__had_bouhssoussen,Béni Mellal - Khénifra,Khénifra,My Bouazza,Had Bouhssoussen,True,
beni_mellal_khenifra__khenifra__my_bouazza__moulay_bouazza,Béni Mellal - Khénifra,Khénifra,My Bouazza,Moulay Bouazza,False,
beni_mellal_khenifra__azilal__ouaouizeght__isseksi,Béni Mellal - Khénifra,Azilal,Ouaouizeght,Isseksi,False,
beni_mellal_khenifra__azilal__demnate__ait_tamlil,Béni Mellal - Khénifra,Azilal,Demnate,Ait Tamlil,False,
beni_mellal_khenifra__azilal__demnate__tifni,Béni Mellal - Khénifra,Azilal,Demnate,Tifni,False,
beni_mellal_khenifra__azilal__ait_mhammed__tabant,Béni Mellal - Khénifra,Azilal,Aït Mhammed,Tabant,True,
beni_mellal_khenifra__azilal__ait_mhammed__zaouiat_ahensal,Béni Mellal - Khénifra,Azilal,Aït Mhammed,Zaouiat Ahensal,False,
beni_mellal_khenifra__azilal__ait_mhammed__ait_mhammed,Béni Mellal - Khénifra,Azilal,Aït Mhammed,Aït Mhammed,False,
beni_mellal_khenifra__azilal__tagleft__tiffert_n_ait_hamza,Béni Mellal - Khénifra,Azilal,Tagleft,Tiffert N'Ait Hamza,False,
beni_mellal_khenifra__beni_mellal__aghbala__aghbala,Béni Mellal - Khénifra,Beni Mellal,Aghbala,Aghbala,False,
beni_mellal_khenifra__beni_mellal__el_ksiba__naour,Béni Mellal - Khénifra,Beni Mellal,El Ksiba,Naour,False,
fes_meknes__ifrane__bakrit__oued_ifrane,Fès - Meknès,Ifrane,Bakrit,Oued Ifrane,False,
fes_meknes__ifrane__bakrit__timahdite,Fès - Meknès,Ifrane,Bakrit,Timahdite,False,
fes_meknes__ifrane__ifrane__tizguite,Fès - Meknès,Ifrane,Ifrane,Tizguite,False,
fes_meknes__ifrane__azrou__tigrigra,Fès - Meknès,Ifrane,Azrou,Tigrigra,False,
fes_meknes__ifrane__timahdite__bensmime,Fès - Meknès,Ifrane,Timahdite,Bensmime,False,
fes_meknes__ifrane__timahdite__ain_leuh,Fès - Meknès,Ifrane,Timahdite,Ain Leuh,False,
fes_meknes__meknes_el_hajeb__meknes_el_hajeb__tamchachte,Fès - Meknès,Meknes-El Hajeb,Meknes-El Hajeb,Tamchachte,False,
fes_meknes__meknes_el_hajeb__meknes_el_hajeb__ras_jerry,Fès - Meknès,Meknes-El Hajeb,Meknes-El Hajeb,Ras Jerry,False,
fes_meknes__boulemane__boulemane__enjil,Fès - Meknès,Boulemane,Boulemane,Enjil,False,
fes_meknes__boulemane__boulemane__sekoura,Fès - Meknès,Boulemane,Boulemane,Sekoura,False,
fes_meknes__boulemane__immouzer_marmoucha__talzemt,Fès - Meknès,Boulemane,Immouzer Marmoucha,Talzemt,False,
fes_meknes__boulemane__outat_el_haj__ouled_ali_ouyoussef,Fès - Meknès,Boulemane,Outat El Haj,Ouled Ali Ouyoussef,False,
fes_meknes__sefrou__ribat_el_kheir__adrej,Fès - Meknès,Sefrou,Ribat El Kheir,Adrej,False,
fes_meknes__sefrou__ribat_el_kheir__ighezrane,Fès - Meknès,Sefrou,Ribat El Kheir,Ighezrane,False,
fes_meknes__sefrou__ribat_el_kheir__tafeggight,Fès - Meknès,Sefrou,Ribat El Kheir,Tafeggight,False,
fes_meknes__sefrou__immouzer_kandar__ait_sbaa_lajrouf,Fès - Meknès,Sefrou,Immouzer Kandar,Ait Sbaa Lajrouf,False,
fes_meknes__sefrou__sefrou__tazouta,Fès - Meknès,Sefrou,Sefrou,Tazouta,False,
fes_meknes__sefrou__sefrou__laanoucer,Fès - Meknès,Sefrou,Sefrou,Laanoucer,False,
fes_meknes__sefrou__sefrou__ahl_sidi_lahcen,Fès - Meknès,Sefrou,Sefrou,Ahl Sidi Lahcen,False,
fes_meknes__taza__aknoul__jbarna,Fès - Meknès,Taza,Aknoul,Jbarna,False,
fes_meknes__taza__taza__bouchfaa,Fès - Meknès,Taza,Taza,Bouchfâa,False,
fes_meknes__taza__tahla__smiaa,Fès - Meknès,Taza,Tahla,Smiaa,False,
fes_meknes__taza__maghraoua__maghraoua,Fès - Meknès,Taza,Maghraoua,Maghraoua,False,
souss_massa__agadir__agadir__amsekroud,Souss - Massa,Agadir,Agadir,Amsekroud,False,
souss_massa__agadir__agadir__idmine,Souss - Massa,Agadir,Agadir,Idmine,False,
souss_massa__agadir__agadir_tamri__tiqqui,Souss - Massa,Agadir,Agadir Tamri,Tiqqui,False,
souss_massa__agadir__agadir_tamri__aziar,Souss - Massa,Agadir,Agadir Tamri,Aziar,False,
souss_massa__agadir__agadir_tamri__tamri,Souss - Massa,Agadir,Agadir Tamri,Tamri,False,
souss_massa__taroudant__ouled_taima__argana,Souss - Massa,Taroudant,Ouled Taima,Argana,False,
souss_massa__taroudant__ouled_taima__bigoudine,Souss - Massa,Taroudant,Ouled Taima,Bigoudine,False,
souss_massa__taroudant__ouled_taima__mnizla,Souss - Massa,Taroudant,Ouled Taima,Mnizla,False,
souss_massa__taroudant__ouled_taima__eddir,Souss - Massa,Taroudant,Ouled Taima,Eddir,False,
souss_massa__taroudant__aoulouz__tafingoulte,Souss - Massa,Taroudant,Aoulouz,Tafingoulte,False,
souss_massa__taroudant__aoulouz__ouneine,Souss - Massa,Taroudant,Aoulouz,Ouneine,False,
souss_massa__taroudant__aoulouz__askaouen,Souss - Massa,Taroudant,Aoulouz,Askaouen,False,
souss_massa__taroudant__aoulouz__ouzioua,Souss - Massa,Taroudant,Aoulouz,Ouzioua,False,
souss_massa__taroudant__taroudant__assads,Souss - Massa,Taroudant,Taroudant,Assads,False,
souss_massa__taroudant__taroudant__tiout,Souss - Massa,Taroudant,Taroudant,Tiout,False,
souss_massa__taroudant__taroudant__tataout,Souss - Massa,Taroudant,Taroudant,Tataout,False,
souss_massa__taroudant__taroudant__ait_makhlouf,Souss - Massa,Taroudant,Taroudant,Ait Makhlouf,False,
souss_massa__chtouka_ait_baha____ait_milk,Souss - Massa,Chtouka Ait Baha,-,Ait Milk,False,
souss_massa__chtouka_ait_baha____sidi_abdellah_bouchouari,Souss - Massa,Chtouka Ait Baha,-,Sidi Abdellah Bouchouari,False,
souss_massa__chtouka_ait_baha____ait_mzal,Souss - Massa,Chtouka Ait Baha,-,Ait Mzal,False,
souss_massa__chtouka_ait_baha____tassegdelte,Souss - Massa,Chtouka Ait Baha,-,Tassegdelte,False,
souss_massa__tiznit__tafraout__amlenne,Souss - Massa,Tiznit,Tafraout,Amlenne,False,
souss_massa__tiznit__tafraout__arbaa_rasmouka,Souss - Massa,Tiznit,Tafraout,Arbaa Rasmouka,False,
souss_massa__tiznit__tafraout__larbaa_sahel,Souss - Massa,Tiznit,Tafraout,Larbaa Sahel,False,
rabat_sale_kenitra__khemisset__tiflet__sidi_abderrezak,Rabat - Salé - Kénitra,Khémisset,Tiflet,Sidi Abderrezak,False,
rabat_sale_kenitra__khemisset__tiflet__m_qam_tolba,Rabat - Salé - Kénitra,Khémisset,Tiflet,M'qam Tolba,False,
rabat_sale_kenitra__khemisset__sidi_allal_bahraoui__ait_ali_oulahcen,Rabat - Salé - Kénitra,Khémisset,Sidi Allal Bahraoui,Ait Ali Oulahcen,False,
rabat_sale_kenitra__khemisset__sidi_allal_bahraoui__ain_johra_sidi_boukhalkhal,Rabat - Salé - Kénitra,Khémisset,Sidi Allal Bahraoui,Ain Johra Sidi Boukhalkhal,False,
rabat_sale_kenitra__khemisset__rommani__had_laghoualem,Rabat - Salé - Kénitra,Khémisset,Rommani,Had Laghoualem,False,
rabat_sale_kenitra__khemisset__oulmes__oulmes,Rabat - Salé - Kénitra,Khémisset,Oulmès,Oulmès,False,
rabat_sale_kenitra__khemisset__oulmes__boukachmir,Rabat - Salé - Kénitra,Khémisset,Oulmès,Boukachmir,False,
rabat_sale_kenitra__rabat__rabat_temara__sidi_yahya_zaer,Rabat - Salé - Kénitra,Rabat,Rabat-Témara,Sidi Yahya Zaer,False,
rabat_sale_kenitra__rabat__rabat_temara__oum_aazza,Rabat - Salé - Kénitra,Rabat,Rabat-Témara,Oum Aazza,False,
rabat_sale_kenitra__rabat__sale__ameur,Rabat - Salé - Kénitra,Rabat,Salé,Ameur,False,
rabat_sale_kenitra__rabat__sale__sehoul,Rabat - Salé - Kénitra,Rabat,Salé,Sehoul,False,
rabat_sale_kenitra__kenitra__kenitra__sidi_taibi,Rabat - Salé - Kénitra,Kénitra,Kénitra,Sidi Taïbi,False,
rabat_sale_kenitra__kenitra__kenitra__haddada,Rabat - Salé - Kénitra,Kénitra,Kénitra,Haddada,False,
rabat_sale_kenitra__kenitra__kenitra__mehdia,Rabat - Salé - Kénitra,Kénitra,Kénitra,Mehdia,False,
rabat_sale_kenitra__kenitra__sidi_yahya_ouest__ameur_seflia,Rabat - Salé - Kénitra,Kénitra,Sidi Yahya Ouest,Ameur Seflia,False,
rabat_sale_kenitra__kenitra__souk_larbaa_du_gharb__bahhara_ouled_ayyad,Rabat - Salé - Kénitra,Kénitra,Souk Larbaa du Gharb,Bahhara Ouled Ayyad,False,
rabat_sale_kenitra__sidi_slimane__sidi_slimane__dar_bel_amri,Rabat - Salé - Kénitra,Sidi Slimane,Sidi Slimane,Dar Bel Amri,False,
rabat_sale_kenitra__sidi_slimane__sidi_yahya_est__kceibya,Rabat - Salé - Kénitra,Sidi Slimane,Sidi Yahya Est,Kceibya,False,
oriental__figuig__bouarfa__maatarka,Oriental,Figuig,Bouarfa,Maatarka,False,
oriental__figuig__talsint__talsint,Oriental,Figuig,Talsint,Talsint,False,
oriental__taourirt__el_aioun__tancherfi,Oriental,Taourirt,El Aioun,Tancherfi,False,
oriental__taourirt__el_aioun__machraa_hamadi,Oriental,Taourirt,El Aioun,Machraa Hamadi,False,
oriental__taourirt__debdou__sidi_ali_belkacem,Oriental,Taourirt,Debdou,Sidi Ali Belkacem,False,
oriental__taourirt__debdou_et_taourirt__sidi_lahcen,Oriental,Taourirt,Debdou et Taourirt,Sidi Lahcen,False,
oriental__berkane____tafoughalt,Oriental,Berkane,-,Tafoughalt,False,
oriental__berkane____fezouane,Oriental,Berkane,-,Fezouane,False,
oriental__jerada__ain_beni_mathar__laaouinate,Oriental,Jerada,Ain Beni Mathar,Laâouinate,False,
oriental__oujda____ain_sfa,Oriental,Oujda,-,Ain Sfa,False,
oriental__oujda____mestferki,Oriental,Oujda,-,Mestferki,False,
oriental__guercif__tamjilt__berkine,Oriental,Guercif,Tamjilt,Berkine,False,
oriental__guercif__taddart__mezguitem,Oriental,Guercif,Taddart,Mezguitem,False,
oriental__guercif__guercif__mrija,Oriental,Guercif,Guercif,Mrija,False,
oriental__guercif__guercif__saka,Oriental,Guercif,Guercif,Saka,False,
marrakech_safi__marrakech__tahanaout__asni,Marrakech - Safi,Marrakech,Tahanaout,Asni,False,
marrakech_safi__marrakech__pn_setti_fatma__setti_fatma,Marrakech - Safi,Marrakech,PN Setti Fatma,Setti Fatma,False,
marrakech_safi__marrakech__amizmiz__talat_n_yakoub,Marrakech - Safi,Marrakech,Amizmiz,Talat N'Yakoub,False,
marrakech_safi__marrakech__amizmiz__tighadouine,Marrakech - Safi,Marrakech,Amizmiz,Tighadouine,False,
marrakech_safi__marrakech__amizmiz__ijoukak,Marrakech - Safi,Marrakech,Amizmiz,Ijoukak,False,
marrakech_safi__marrakech__amizmiz__anougal,Marrakech - Safi,Marrakech,Amizmiz,Anougal,False,
marrakech_safi__marrakech__ait_ourir__zerkten,Marrakech - Safi,Marrakech,Aît Ourir,Zerkten,False,
marrakech_safi__marrakech__ait_ourir__ait_hkim_ait_yzid,Marrakech - Safi,Marrakech,Aît Ourir,Ait Hkim Ait yzid,False,
marrakech_safi__marrakech__ait_ourir__ait_adel,Marrakech - Safi,Marrakech,Aît Ourir,Ait Adel,False,
marrakech_safi__chichaoua__imin_tanout__lalla_aziza,Marrakech - Safi,Chichaoua,Imin Tanout,Lalla Aziza,False,
marrakech_safi__chichaoua__imin_tanout__douirane,Marrakech - Safi,Chichaoua,Imin Tanout,Douirane,False,
marrakech_safi__chichaoua__imin_tanout__adassyl,Marrakech - Safi,Chichaoua,Imin Tanout,Adassyl,False,
marrakech_safi__chichaoua__imin_tanout__sidi_ghanem,Marrakech - Safi,Chichaoua,Imin Tanout,Sidi Ghanem,False,
marrakech_safi__chichaoua__timlilt__irohalen,Marrakech - Safi,Chichaoua,Timlilt,Irohalen,False,
marrakech_safi__essaouira__essaouira__mrameur,Marrakech - Safi,Essaouira,Essaouira,Mrameur,False,
marrakech_safi__essaouira__smimou__sidi_ghanem,Marrakech - Safi,Essaouira,Smimou,Sidi Ghanem,False,
marrakech_safi__essaouira__smimou__ezzaouite,Marrakech - Safi,Essaouira,Smimou,Ezzaouite,False,
tanger_tetouan_al_hoceima__larache__beni_arous__beni_arous,Tanger - Tétouan - Al Hoceima,Larache,Beni Arous,Beni Arous,False,
tanger_tetouan_al_hoceima__larache__beni_arous__tazrout,Tanger - Tétouan - Al Hoceima,Larache,Beni Arous,Tazrout,False,
tanger_tetouan_al_hoceima__larache__tattoft__kolla,Tanger - Tétouan - Al Hoceima,Larache,Tattoft,Kolla,False,
tanger_tetouan_al_hoceima__larache__tattoft__boujediane,Tanger - Tétouan - Al Hoceima,Larache,Tattoft,Boujediane,False,
tanger_tetouan_al_hoceima__ouezzane__zoumi__zoumi,Tanger - Tétouan - Al Hoceima,Ouezzane,Zoumi,Zoumi,False,
tanger_tetouan_al_hoceima__ouezzane__ouezzane__brikcha,Tanger - Tétouan - Al Hoceima,Ouezzane,Ouezzane,Brikcha,False,
tanger_tetouan_al_hoceima__tetouan__tetouan_ouest__beni_leit,Tanger - Tétouan - Al Hoceima,Tétouan,Tétouan Ouest,Béni Léit,False,
tanger_tetouan_al_hoceima__al_hoceima__pn__rouadi,Tanger - Tétouan - Al Hoceima,Al Hoceima,PN,Rouadi,False,
tanger_tetouan_al_hoceima__al_hoceima__al_hoceima__bni_boufrah,Tanger - Tétouan - Al Hoceima,Al Hoceima,Al Hoceima,Bni Boufrah,False,
tanger_tetouan_al_hoceima__al_hoceima__targuiste__sidi_boutmim,Tanger - Tétouan - Al Hoceima,Al Hoceima,Targuiste,Sidi Boutmim,False,
tanger_tetouan_al_hoceima__chefchaouen__cdp_chefchaouen__talembote,Tanger - Tétouan - Al Hoceima,Chefchaouen,CDP Chefchaouen,Talembote,False,
tanger_tetouan_al_hoceima__chefchaouen__cdp_chefchaouen__tanakoub,Tanger - Tétouan - Al Hoceima,Chefchaouen,CDP Chefchaouen,Tanakoub,False,
tanger_tetouan_al_hoceima__chefchaouen__cdp_chefchaouen__bab_taza,Tanger - Tétouan - Al Hoceima,Chefchaouen,CDP Chefchaouen,Bab Taza,False,
tanger_tetouan_al_hoceima__tanger__assilah__dar_chaoui,Tanger - Tétouan - Al Hoceima,Tanger,Assilah,Dar Chaoui,False,
tanger_tetouan_al_hoceima__tanger__fahs_anjra__taghramet,Tanger - Tétouan - Al Hoceima,Tanger,Fahs Anjra,Taghramet,False,
tanger_tetouan_al_hoceima__tanger__fahs_anjra__jouamaa,Tanger - Tétouan - Al Hoceima,Tanger,Fahs Anjra,Jouamaa,False,
draa_tafilalet__midelt__tounfite__sidi_yahya_ou_youssef,Drâa-Tafilalet,Midelt,Tounfite,Sidi Yahya Ou Youssef,False,
draa_tafilalet__midelt__tounfite__tounfite,Drâa-Tafilalet,Midelt,Tounfite,Tounfite,False,
draa_tafilalet__midelt__tounfite__agoudim,Drâa-Tafilalet,Midelt,Tounfite,Agoudim,False,
draa_tafilalet__midelt__tounfite__anemzi,Drâa-Tafilalet,Midelt,Tounfite,Anemzi,False,
draa_tafilalet__midelt__itzer__tanourdi,Drâa-Tafilalet,Midelt,Itzer,Tanourdi,False,
draa_tafilalet__midelt__itzer__tizi_n_ghachou,Drâa-Tafilalet,Midelt,Itzer,Tizi N'Ghachou,False,
draa_tafilalet__midelt__itzer__ait_ben_yaakoub,Drâa-Tafilalet,Midelt,Itzer,Ait Ben Yaakoub,False,
draa_tafilalet__midelt__itzer__itzer,Drâa-Tafilalet,Midelt,Itzer,Itzer,False,
draa_tafilalet__midelt__midelt_rich__ait_zdeg,Drâa-Tafilalet,Midelt,Midelt/Rich,Ait Zdeg,False,
draa_tafilalet__midelt__midelt_rich__amerssid,Drâa-Tafilalet,Midelt,Midelt/Rich,Amerssid,False,
draa_tafilalet__midelt__midelt_rich__ait_ayach,Drâa-Tafilalet,Midelt,Midelt/Rich,Ait Ayach,False,
draa_tafilalet__midelt__midelt_rich__gourama,Drâa-Tafilalet,Midelt,Midelt/Rich,Gourama,False,
draa_tafilalet__midelt__midelt_rich__n_zala,Drâa-Tafilalet,Midelt,Midelt/Rich,N'Zala,False,
draa_tafilalet__midelt__midelt_rich__zaouiat_sidi_hamza,Drâa-Tafilalet,Midelt,Midelt/Rich,Zaouiat Sidi Hamza,False,
casablanca_settat__benslimane__benslimane__ain_tizgha,Casablanca - Settat,Benslimane,Benslimane,Aïn Tizgha,False,
casablanca_settat__benslimane__benslimane__mellila,Casablanca - Settat,Benslimane,Benslimane,Mellila,False,
casablanca_settat__benslimane__benslimane__bir_ennasr,Casablanca - Settat,Benslimane,Benslimane,Bir Ennasr,False,
casablanca_settat__casablanca____fup_bouskoura,Casablanca - Settat,Casablanca,-,FUP Bouskoura,False,
guelmim_oued_noun__guelmim____tagant,Guelmim - Oued Noun,Guelmim,-,Tagant,False,
guelmim_oued_noun__sidi_ifni____tnine_amellou,Guelmim - Oued Noun,Sidi Ifni,-,Tnine Amellou,False,
